,writer,titles,links,common_phrase,Text,Main_Actors,Main_actors_count,Role_names,Place,Lighting,lang
0,HaykTarkhanyan,Kargin Haghordum sketch 401 (Hayko Mko),https://www.youtube.com/watch?v=2311QdBFp4o&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=2&t=0s,,Աայ; Գագ ջան այ տենց դանդաղ; Գագ ջան մի քիչ դանդաղ էլի Գագ; վաայ Գագ; Վարդ միքիչ արագ արա էլի Վարդ ջան; թողնել լսի հրամանս; 1 2 1 2,"Մկո, ոստիկան",1,Գագ,Տուն,լուսավոր,հայերեն
1,HaykTarkhanyan,Kargin Haghordum sketch 402 (Hayko Mko),https://www.youtube.com/watch?v=4SBSBGc4dcc&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=3&t=0s,սպասի ազիզ ջան հլը մի հաշվի էս էլի ես եմ,"Աաաախ; ուրեմն նաի ազիզ ջան հեսա էդ պատուհանից լիքը անդուր ձյայձյաներ են դուրս թռնելու դու պռոստը էտե նստի ու հաշվի; իլյավ, նստի ու հաշվի; 1; սպասի ազիզ ջան հլը մի հաշվի ես էլի ես եմ","Մկո, փոքր երեխա",2,Ոչ մի,Տուն,լուսավոր,հայերեն
2,HaykTarkhanyan,Kargin Haghordum sketch 403 (Hayko Mko),https://www.youtube.com/watch?v=pi2au8rx0XQ&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=4&t=0s,,ահա վերջ գնաաց; էէհ; արա ես ինչ անձրև սկսեց սաղ կերած խմածներս հարամ արեց; դու մենակ գազ տուր գազ տուր ստեղից հելնենք; գնացինք; էս ովա արա ես ովա էս ուռոդը ինչ ես ուզում; ապե միհատ պապիրոս տաիք էլի; վեկալ լրիվ պաչկեն վեկալ քեզ; ոնց գազ տամ դեմներս բան չի երևում բա որ խփեմ ծառերին; ապե ստեղ ուղիղ ճամփայա ոչինչ մի 2 հատ ծառ կա բայց ոչինչ ուղիղ տեղա գազ տուր; քշում եմ ինչքան կարամ արագ եմ քշում; արա ես ոնց մեզ հասավ հլը բաց; ինչ ես ուզում արա հիմա ինչ ես ուզում; մի հատ զաժիգալկա էլ տաիք էլի; վեկալ արա; մերսի; բայց ոնցա էսի մեզ հասնում չեմ ջոգում; ախր 80ի վրա գնում ենք էսի ոնցա մեզ հասնում; արա էս ինչ վախենալու դեպքա էս ովա; կարողա էսի հոգի-մոգիյա; ինչա ինչա հիմա ինչ ես ուզում; ապեր պետքա օգնեմ բռդեմ ոնց-որ լռվել էք; գնա բռդի արա այ բոմժ,"Մկո, Հայկո, Մկո",3,Ոչ մի,Բնության գիրկ,լուսավոր հետո մութ,հայերեն
3,HaykTarkhanyan,Kargin Haghordum sketch 419 (Hayko Mko),https://www.youtube.com/watch?v=YxcS2fTHrII&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=20&t=0s,Թու արա էլի մտքերով ընգա,Չէ Վարսիկ ջան էսօր չգնացի ասի մնամ տանը մի քիչ տները մաքրեմ; ուզում էիք գաիք լսի բայց Վաչոն էս ժամին դժվար թե տանը լինի է ախր; վայ էնքան ուշա գործը վերջացնում չես պատկերացնում; առավոտը 7ին գնումա գործի դե Փարաքյարումա շինարարության վրայա աշխատում գիշերվա 11ին նոր գործը վերջացնումա ջարդված քանդված գալիսա տուն; սկի չի կարում մի կտոր հաց ուտի ենքան հոգնածա պարկումա որ առավոտը 7ին նորից պետքա վազի ետ իրա գործին; վայ չես պատկերացնում ինչ հոգնած տանջվածա բա ենքանա նիհարել; գիտես էնքանա աշխատել լրիվ խելքը թռցրելա; ենքան ցրվածա դառել մի բան եմ խնդրում չէ որ տուն բերի մոռանումա; ոնց ման չի եկել գիտես ինչքանա ման եկել նորմալ գործ չկա; գիտես ինչքան քիչ փող են առաջարկում ավելի քիչ քանց ինքը էսօր աշխատումա;  հլը մի րոպե; Վաչիկ ես ինչ ես ստեղ անում; դու ես ժամին գործի չես; ես վեդրոներով ցեխը ինչի ես տուն բերել; թու կնիկ էլի մտքերով ընգա տղեքը ավալովկեն կախած ինձի են սպասում; որ ասում եմ գժվելա չես հավատում,"Հայկո, Մկո",2,Վաչիկ,Տուն,լուսավոր,հայերեն
4,Nair_gh,Kargin Haghordum sketch 421 (Hayko Mko),https://www.youtube.com/watch?v=DvZ-qwJ9C0Y&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=22&t=0s,Ընչի հըմար,"Հիմա ի՞նչ, միտինգ են անու՞մ; Ուզածները ի՞նչ ա; Աշխատավարձի բարձրացու՞մ; Արա դե սպանին էլի դրանք, ամիսը չանցած աշխատավարձ են ուզում, աշխատավարձի օրը գալիս ա աշխատավարձի բարձրացում են ուզում, բայց սաղ ամիս ոշ մի բան չեն անում արա; Մի հատ էլ, որ գործ տաս, ասես էս գործը արա որ աշխատավարձդ բարձրացնեմ մի քիչ ավել փող տամ կմեռնի բայց չի անի է; Սաղ օրը մի հատ տեղ քթնի, պառկի իրա համար էնքան որ ոչ մի գործ չանի արա; Ը, սրա նման; Հլը սպասի էս ա զանգեմ; Ընգեր ջան, էդ ինչ ես անում; Իմ հըմար պառկած եմ;Էդ հավայի պառկելու տեղը վեր կաց էն հետևիդ պտղատու ծառերը ջրի մի իրեք ամսից բերք կտա, կտանես բազարը կծախես փող կունենաս; Ընչի հըմար; Ասում ա ընչի հըմար; Էդ փողը կվեկալեիր կողքիդ տարածքն էլ կառնեիր, տնկիները կտնկեիր, մյուս տարի ավելի շատ բերք կունենայիր, կտանեիր բազքրը կծախեիր ահագին մեծ կապիտալ կստեղծեիր; Ընչի հըմար; Էլի ասում ա ընչի հըմար; Էդ կապիտալդ կներդնեիր, էն հետևիդ տարածքը կառնեիր էլի ծառ կտնկեիր 2 հեկտար բերքատու հող կունենայիր պլյուս մի քիչ էլ փող կմնար տեխնիկա կառնեիր, որ էդ բերքը ավելի հեշտ ըլներ հավաքելը; Հա բայց ընչի հըմար;Նրա համար, որ բերքահավաքի տեմպերը մեծանա, կօգնեի մի հատ գործարան կդնես, էս բերքդ կկոխես էդ գործարան սոկ կանես, կամպոտ, վարոնի կանես, ջեմ կանես; Ընչի հըմար; Արա, նրա համար, որ ծառերդ ծաղկեն, գարծարանդ աշխատի, փողերդ կաթա, դու էլ քո համար ստե ծառի տակ պառկես ու ոշ մի բան չանես; Դե հիմա էլ իմ հըմար ծառի տակ պառկած եմ, բան չեմ անում;","Հայկո, Մկո",2,Ոչ մի,Ավտոմեքենա,լուսավոր,հայերեն
5,Nair_gh,Kargin Haghordum sketch 422 (Hayko Mko),https://www.youtube.com/watch?v=ixUFJhp7iXQ&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=23&t=0s,"2 հատ որձ, 3 հատ էգը; 2-ը պիվի բակալի վրա էին նստած, 3-ը հեռախոսի;","Գնա էն յան նստեմ հլը;Ֆուււ;Ֆու; Արա մի հատ փոխի էլի էս կանալը, չգիտես որ ես կենդանիներից զզվում եմ արա; Իսկ դու չգիտես որ ես զզվում եմ, երբ կենդանու նման լակած տուն ես գալիս, էն օրը խոսք տվեցիր, որ կես տարի չես խմելու, նորից լակել էկել ես; Ոնց ես քեզ ասել եմ որ կես տարի չեմ խմելու ու ես իմ խոսքի տեր տղա եմ; Ոչ խոսքիդ տերը չես, մի օր դիմացար երկրորդ օրը խմած էլի էկար; Կարող ա քեզ ասել եմ կես տարի իրար հետևից չեմ խմելու; Ըհըը, ուրեմն տարվա մեջ մի օր խմելու եմ, մի օր չեմ խմելու; Ինչ ես անում; Ճանճ եմ սպանում; Տո դու էդ վիճակում ճանճ կարաս սպանոս, պառկի քնի; Ոնց 5 հատ սպանել եմ արդեն, 2 հատ որձ, 3 հատ էգ; Էդ ոնց ջոգեցիր դրանց էգն ու որձը; Ի 2ը պիվի բակալի վրա էին նստած, 3-ը հեռախոսի;","Հայկո, Մկո",2,Ոչ մի,Տուն,լուսավոր,հայերեն
6,Nair_gh,Kargin Haghordum sketch 423 (Hayko Mko),https://www.youtube.com/watch?v=5hTfIoA547g&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=24&t=0s,"Ըլավ; Կլոուն; Հա լավ վախեցա, ես էլ գիտեմ նոր ա;","Добрый день, дорогие гости, я прветсвстую вашу русскей язичную группу из за Сенге; Зараню извеняюсь мой неправильный русский язык; Прашу за мной за;Մի ամսից ամուսնանում ենք;Էկել հասել ենք Ամստերդամ, եսիմ ուր ես ինձ բերե; Սրանից տխուր տեղ մեկ էլ մեր 3-րդ մասի հայաթն ա; Լավ, փիսո ջան, արի էսօր գնանք ձիսկատեկա, լավ պարենք, մի երկու բաժակ էլ խմենք, վերջում էլ մեզ նվիրենք կրքերին հը; Լավ բան ես ասում գիտես, բայց մենակ մի պայման, ով որ շուտ ա գալիս համար,դուռը չի փակում,լույսն էլ միացրած ա թողնում, որ մյուսը երբ էլ գա հանգիստ կարենա մտնի, ըլավ; Эта известная картина Вембранда; На ней изображена пустая улица Амстердама, где стоит солнечная, теплая погода; А картина называются,, Дураки,,; Հլը էս կլոունին հարցրա էդ դուռակները ուր են;А простите а где дураки;А дураки в это время сидят дом;
Следуете за мной;Էս ով էր էս տափակը; քել գնանք տենանք ընդեինչ կա էլի; Վաչ, գիտես էն օրը ինչ էի մտածում, մենք որ ամուսնացանք 3 հատ էրեխա ենք ունենալու; Բայց ինչ իմացար որ հենց 3; Դե հիմա էդ էրեխեքը մամայի տանն են ապրում, հենց ամուսնանաք բնականաբար կգան մեր տանը կապրեն;Բայց ինչի եմ ես դրա մասին իմանում էսաան ուշ;Բայց ինչ կապ ունի երբ;Oh my God! Что вы наделали; Это же королевская ваза 14-ого века; Ինչ ա ասում;Ասում ա էս ինչ արեցիք, էս 14-րդ դարի սափոր էր;Հա լավ, ես էլ վախեցա, գիտեմ նոր ա;Կլոուն;Քել գնացինք;","Հայկո, Մկո, գիտ",3,Վաչո,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն+ռուսերեն
7,Nair_gh,Kargin Haghordum sketch 424 (Hayko Mko),https://www.youtube.com/watch?v=hBNHfoPXyME&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=25&t=0s,"Ընգեր ;Սանիպիտ ախպեր; Չգիտեմ ախպեր, օրեկան 1000 դրամ տվել եմ իրան ինքը իրա համար ինչ ուզե առե կերել ա;","Էդ հարցը համարում ենք փագված, հա էլ չանհանգստացնեք էդ հարցով, էղավ, լավ, լավ; Խոզը քանիս ա; Ընգեր, 5000դրամ ա; Էսի հողի խոզ ա, Նազարվան; Իմ ձեռով պահել եմ, իմ ձեռով մեծացրել եմ, իմ ձեռով էլ կերակրել եմ; Բա խոզդ ինչով ես կերակրե; Ընկեր, ոշոմ, աշխարհի տակ ինչքան համով ուտելիք ես ճանաչում, դրանցով էս խոզին կերակրել եմ; Խոզի միս, Ասատրինա, շակալադ, բայց ամենակարևորը որն ա որ ամեն օր էս խոզին 1 կիլո սև իկրա եմ տվել; Մենակ էս 3 տարվա մեջ էս խոզին մի տոննա սև իկրա կերցրի; Սև իկրա հա ասում ես;Ազգային անվտանգություն; Ուրեմն պարոն մսավաճառ, երևի անցնենք վարչություն ձեզ մի երկու հատ հարց տանք, թե էդքան սև իկրա ձեզ որտեղից;Կանտրաբանդայի հոտ ա գալիս ստեղ; Էս ամեն ինչն էլ հավաքեք բերեք ձեր հետ, գնացինք; Ընգեր արի կլնի էս միսը վեկալ, էսի իմ կողմից նվեր, վարչություն ա բանա պետ չի էլի, լավ բաներ չենք լսում ընդեից; Ով ա; Աներս ա, ըսենց մարդ ա; Խոզի միսը ինչ արժի; Ընգեր դու բարի մարդ ես երևըմ քո համար 5000 դրամ;Ընգեր իմ պահած խոզն ա; Բա խոզդ ինչով ես կերակրել; Ինչով եմ կերակրեել; Ընգեր ինչ զիբիլ ասես տվել եմ կերել ա էս խոզը, զիբիլանոցներում ով ինչ շպրտում էր տալիս էի ուտըմ էր; Օգտագործած պամպերս, պագրիշկա, շպռից, էս վերջերս էլ Վեսլա մագնիտաֆոնս կերավ անասունը; Ուրեմն ես սանիպտիկայանից եմ, ձեր թվարկած ապրանքներով որ կերակրել եք էս խոզին, շատ հնարավոր ա որ ինքը վարակված լինի էնպես որ հավաքեք տանում ենք էքսպերտիզայի; Հավաքեք, արագացրեք;Սանեպիտ ախպեր արի կըլնի էս միսը վեկալ, էսի իմ կողմից նվեր էլի, միսը տանել պետ չի, սաղս էլ օջախ ենք ապահովում ցավդ տանեմ; Բարև ձեզ; Բարև ձեզ ընգեր; Խոզը ինչ արժի; Ընգեր 5000 դրամ ա, իմ պահած խոզն ա, դրա համար էլ էդքան ա; Բա խոզդ ինչով ես կերակրել ; Չգիտեմ ախպեր, օրեկան 1000 դրամ տվել եմ իրան, ինքը իրա համար ինչ ուզե առե կերել ա; Չգիտեմ ախպեր; Ինչ ա կերել, ինչ իմանամ;Ախպեր մենակ ինքը;Քյասար առնում ես առ, չես առնում մի առ, ինչ իմանամ ինչ ա կերել արա;","Հայկո, Մկո, Աշոտ Անդո",4,Ոչ մի,Այլ(գրեք ավելացնենք),լուսավոր,հայերեն
8,Nair_gh,Kargin Haghordum sketch 425 (Hayko Mko),https://www.youtube.com/watch?v=fRUGy2n63JY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=26&t=0s,"Էն գործ ա, իսկ սա կյանք;","Ընկեր Հովհաննիսյանյան կանչել էիք; Այո Արթուրիկ ջան արի նստի; Արթուրիկ ջան ու ես քո հետ շատ լուրջ թեմայի շուրջ էի ուզում խոսեի, ուրեմն քո մոտ բոլոր առարկաներից լավ գնահատական է, իսկ հայոց գրականությունը դու անտեսում ես; Ախր դու հասկացիր, յուրաքանչյուր հայ պետք է իմանա իր սեփական գրականությունը, որովհետև մեր գրականությունը տվել է այնպիսի մեծություններ, ինչպիսիք է ՆարեկացիՆարեկացին, Քուչակը, Թումանյանը, մենք օրինակ հիմա Քուչակ ենք ուսումնասիրում, ես կտամ քեզ իմ գիրքը, դու ուսմնասիրի, վաղը երեկոյան դասերից հետո կբերես մեր տուն, լավ; Հաջողություն ընկեր Հովհաննիսյան; Ընկեր Հովհաննիսյան; Իյա, Արթուրիկ ջան, ինչի համար ես էկել; Էկել եմ գիրքը վերադարձնեմ; Տուր; Ընկեր Հովհաննիսյան բա ասում էիք Նարեկացի, Քուչակ, Թումանյան, բա էս ձեր վիճակը ինչ ա; Արթուրիկ ջան էն գործ ա, իսկ սա կյանք;","Մկո, փոքր երեխա",2,"Արթուրիկ, ընկեր Հովհաննիսյան",Այլ(գրեք ավելացնենք),լուսավոր,հայերեն
9,Nair_gh,Kargin Haghordum sketch 426 (Hayko Mko),https://www.youtube.com/watch?v=PxsWkmJXfZY&list=PLDDuEZQEC_uAuSrUXsFVBLNkPQY3BHzLQ&index=27&t=0s,"Արա էս ռեակտիվ եք, զանգը չտված դուռը բացում եք;","Չէ;Վավավավա;  (երգ Մեզ մոտ ուրախ խաղ ու ծիծաղ, մեր այս ուրախ տոնին արևն է ջերմ ժպտում;Դուք իմացեք ու միացեք, քանի ձեզ հետ է մեր շոուն;.Յո յո, այոո...) ; Ոնց որ զանգում են; Գնամ բացեմ; Արա էս ռեակտիվ եք, զանգը չտված դուռը բացում եք;","Մկո,Աշոտ, Հայկո",3,Ոչ մի,Տուն,լուսավոր,հայերեն
